"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"942","katy perry roar official httpyoutubecevxzvsjlkufeff"
"943","ueuuuucufuduau ueueueuuuduc uucuuuduufufeff"
"944","whos watching ufeff"
"945","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"946","i dont understand how did katy perry end up with my brand the brand that comes after my first name now it comes after hers whats upufeff"
"947","uf ueuuud uuuuuauu uauue uduue uubuuuuuufeff"
"948","x picharufeff"
"949","songs or videos of beautiful picturesufeff"
"950","if you hate bart baker say if you love bart baker then say hate love thank you for your corporation ufeff"
"951","misskaty bart baker has made multiple parodies about your videos so just telling youufeff"
"952","haters are gonna hate but this song is nothing but awesome love ya katy ufeff"
"953","make up can will stay on your face for daysufeff"
"954","check out this playlist on youtubeufeff"
"955","love this song awesome song ufeff"
"956","the tigers gonna eat mebut first lemme take a selfieufeff"
"957","xd the guy did a selfieufeff"
"958","become a boredom superstar with beat bandz beat bandz play like a guitar and also sound like a drum set httpmagistoedydemfcrknkgdmewcxhlvsmoict … each band comes with its own bass board for enhanced playing get your whole set up for only go on check it out if you are interested contact via twitter apparelcredufeff"
"959","u uuue uuu udu uuduubuuuuaueuc uaueucuuduuuuu ufuuuuufeff"
"960","joyofsatanorgufeff"
"961","nice ufeff"
"962","best songufeff"
"963","que buen videoooufeff"
"964","a some really a some ufeff"
"965","grandisaufeff"
"966","chida rola ufeff"
"967","i like the version from survivor which is called eye of the tiger ufeff"
"968","good songufeff"
"969","why is a an african elephant in the middle of a jungle it should be a indian elephant ufeff"
"970","if i were the champion and your gana hear me mooooooo moooooo mooooo you gana hear me moooooooooufeff"
"971","palmaas ddufeff"
"972","katy and slayer are top of my play lists i cant believe you dated that dorky dude from france or whatever total kook dude you can do better fufuudufeff"
"973","katy perry love you my name is luanaufeff"
"974","plz that mean who like thatufeff"
"975","am in love with this songufeff"
"976","zoofilia d ufeff"
"977","que lindo gabrielufeff"
"978","this video is cringeufeff"
"979","i wanna hear you roar fufuucfufuucfufuucfufuucfufudubfufudubfufudubufeff"
"980","oppsufeff"
"981","matbe iys a good songufeff"
"982","br aquiiiiiiiiiiiiiieeeeeeeufeff"
"983","sooo niseufeff"
"984","m outro ufeff"
"985","check out this video on youtubeufeff"
"986","i love fufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuuffufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuuduuuuuuuuuuuuuufufuucfufuucfufuucfufuucfufuucfufuubfufuubfufuuafufuuafufuufufuufufuufufuucfufuubfufuuafufuufufuufufuuafufuucfufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuuefufuufufuufufuufufuufufuufufuufufuufufuufufuufufuu fufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuube katy perry songs fufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufueuafufueuafufueuafufueuafufueuafufuubcfufuubcfufueuafufueuafufueuafufueuafufueuafufueubfufueubfufueubfufueubfufueubfufueubfufueubcfufueubcfufueubcfufueuafufueuafufueuafufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubbfufuubbfufuubbfufuubbfufuubbfufuufufuufufuufufuufufuufufuudfufuuufeff"
"987","ufeff"
"988","wow so good this song is i sabscriv and i gave a like ufeff"
"989","dam where u get da makeup in da jungleufeff"
"990","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"991","sos beautiful and do not speak good englishufeff"
"992","cool song luv it so muchufeff"
"993","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"994","this video is full of shitufeff"
"995","and you gonna hear me roarufeff"
"996","wowufeff"
"997","roar i love youre vidsufeff"
"998","just missed the song name is tiger eye to be a full copyufeff"
"999","httpswwwyoutubecomwatchvcevxzvsjlkufeff"
"1000","how is this on my playlist anyway youre gonna hear me roarrr just kidding im a human i thinkufeff"
"1001","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1002","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1003","i love u katy ufeff"
"1004","i love rour katy perry ufeff"
"1005","i love it so muchufeff"
"1006","uuduu uuu uuuuu uuua uauau uuuuu ufeff"
"1007","extraaaaaa ufeff"
"1008","o por diosufeff"
"1009","fufuuffufuuefufuuefufuuffufuuefufuuffufuuffufuuefufuuefufuuffufuuffufuuefufuuefufuuffufuuffufuubfufuubfufuubfufuubfufuubfufuubfufuubufeff"
"1010","i love the part when you beat the tiger that part is really coolfufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuuufeff"
"1011","when i see songs that i love like chop suey or numb and i see that they have more than m views in years i become really proud because is an hard thing to achieve for that genre of songs but knowing the fact that pop songs like this easily get more than m views in year just show how bad is overall musical tasteufeff"
"1012","me likeufeff"
"1013","adoro a katyufeff"
"1014","q bonita la cancion me encanta ufeff"
"1015","a selva e a rainhaufeff"
"1016","am i the only one that thinks she acts a bit too much in her songs like in last friday night at the beginning there is the dude who comes through the door and tells her how it was a good party bla dee bla dee bla she acts way too much no hate if you disagree pleaseufeff"
"1017","i would like to share the official videoclip from the song roar originally recorded by the artist katy perryufeff"
"1018","fuck shes hotufeff"
"1019","i played the monkey in this video be jealousufeff"
"1020","i certainly roared when i blew my load to this video thanks katy perryufeff"
"1021","the worlds finest ufeff"
"1022","hop over to swagbucks to get a few free gift cards it never takes long to get points wwwswagbuckscomreferantiswaggamerufeff"
"1023","roaruufeff"
"1024","alessio nardi fufuufufuufufuufufuufufuuufeff"
"1025","fufueufufueufufueufufueufufueufufueuufeff"
"1026","linda maravilhosa eu dava uma chance pra elaufeff"
"1027","czy ktos tu gada po polsku plis gadajcie po polskuufeff"
"1028","but is she lesbian or bisex damn i love this woman ahahahufeff"
"1029","please help me get subscribers by the end of the night thxufeff"
"1030","i love a music roarufeff"
"1031","a me mi piace tantissimo sabato fedezketi perrifufuufufuufufuufufuufufuu ciao buona giornata a tutti voi ufeff"
"1032","bruno mars had a grenade and taio cruiz had a dynamite so they both threw them at katy perry who then exploded into a firework the bang was so loud it made the black eyed peas forget the time while rhianna had a memory loss and run around saying whats my name eminem just glared looked around and said i am not afraid willow smith just whipped her hair back and forth and that action scared the far east movement who flew away like a g right past jennifer lopez who fell on the floor nelly then woke up and realized it was only just a dream ufeff"
"1033","lindo ojos ufeff"
"1034","i want to sing like herufeff"
"1035","i cant wait to see you in consert one day ufeff"
"1036","i really love this video in the jungle and your cheetah outfitufeff"
"1037","fuck you katy perry you stupid and bitch fuck you fuck youufeff"
"1038","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1039","roar super me encanta soy tu fan roarufeff"
"1040","good videoufeff"
"1041","padrisima cancionufeff"
"1042","i love this song ufeff"
"1043","npufeff"
"1044","hi guys i am brazilian i really like most of the american music add me on faceboo who want httpswwwfacebookcomprofilephpidufeff"
"1045","mix katy perry httpwwwyoutubecomwatchvcevxzvsjlklistrdhcesgeckzoufeff"
"1046","helloufeff"
"1047","search for the venus projectufeff"
"1048","my favouriteufeff"
"1049","uuuuc uuuuuauuufeff"
"1050","me encanta cantarufeff"
"1051","katy perry roarfufueubfufueuafufuuufeff"
"1052","love this songufeff"
"1053","i love this song thanks so much for this katyperryvevo ufeff"
"1054","shes part of the illuminatiufeff"
"1055","do u like party perry ufeff"
"1056","stop at something just look at her boobs tho ufeff"
"1057","you said it feet dailyufeff"
"1058","vufeff"
"1059","yes katy perry okufeff"
"1060","roar kety perryufeff"
"1061","katy your bad at acting who agrees with meufeff"
"1062","adoro está músicaufeff"
"1063","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1064","great song ufeff"
"1065","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1066","dobrýufeff"
"1067","i always wanted to be like you i love you katyperryufeff"
"1068","involve this songufeff"
"1069","ready for something different click our name you wont regret it ufeff"
"1070","omg deamn nice tits man dufeff"
"1071","lindaufeff"
"1072","i love you katyufeff"
"1073","güzel olmusufeff"
"1074","go watch short video on my chanell please its funny and retardedi know you like thatufeff"
"1075","ive loved this video and song since it first came out and im watching almost years later i rarely listen to and a year old songs but this is a good oneufeff"
"1076","uucufcucuedud uueauua uaufufufuuu ucufduubc katy perry roar officialhttpsyoutubecevxzvsjlk ueduduucubcufeff"
"1077","adorei a música a katy é dufeff"
"1078","suraz basnet how about your an idiotufeff"
"1079","i like your videos ufeff"
"1080","me encanta su pelo negro largo es preciosoque hacen resaltar todavia mas sus bellisimos ojos que son mas bonitos que cualquier diamanteufeff"
"1081","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1082","süperufeff"
"1083","love u katyperryufeff"
"1084","joyofssatan com only one sufeff"
"1085","te amo kat perry tenho seu perfume amo todaa suas musicasufeff"
"1086","me encanto esa cancion la amo ufeff"
"1087","koje budale mrzim strane pesmeufeff"
"1088","you are best i love youfufuufufuuufeff"
"1089","i love this songufeff"
"1090","nidaleeufeff"
"1091","katy perry is looking fabulous in thisufeff"
"1092","j adoreufeff"
"1093","helloufeff"
"1094","i thought this was katy perry not megan foxufeff"
"1095","whats the differnce between black man and a pizzaufeff"
"1096","imádom hajrá katy perryufeff"
"1097","mix ariana grande right there ft big sean httpwwwyoutubecomwatchvcevxzvsjlklistrdfhcpubavdmcufeff"
"1098","ciaoo sono angelicaufeff"
"1099","i love katy perryufeff"
"1100","hahaufeff"
"1101","je tadore tes chanson son si clufeff"
"1102","this chick is a tattood idiotufeff"
"1103","good song i love the songufeff"
"1104","speed in ta garmufeff"
"1105","bellissima come sempreufeff"
"1106","like dit als je een nederlander bentufeff"
"1107","shes perfect she got beauty face good voice for singing and important thing is that as you know she got big booufeff"
"1108","roar roars straight into the spot for s aria singles chart for katy perry who scored her first big australian hit of the and it was s highest selling single in australia going a staggering times platinum in sales and with a great video clip to match its not hard to see why this is the case off the prism album which was also released in respectivelyufeff"
"1109","best song forever d ufeff"
"1110","time for bed kitty kat let us adults have a conversation and stop wearing that katy perry perfume from wal mart i can smell it from hereufeff"
"1111","oh no me habia dado cuenta que este video lo produjo tambien un latinoufeff"
"1112","hay que llegar a los antes que todasufeff"
"1113","svelíufeff"
"1114","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1115","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1116","my is my favourite song is roar whats yoursufeff"
"1117","katy perry sent your fireworks text file over to tbn i cased you with victoria osteen wife of joel osteen trinity broadcasting networkwhat you need to do cause here out in the world no it is ot getting through what do you need to doufeff"
"1118","very cool song dufeff"
"1119","ueauedueauedueue ueueueueueueueueueueueueueufeff"
"1120","i love this songufeff"
"1121","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1122","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1123","hayufeff"
"1124","if you like this witch i love you should check out fireworkufeff"
"1125","wowufeff"
"1126","las canciones de katy perri están muy padres ufeff"
"1127","i still love this video ufeff"
"1128","katy perry i love your song roar it is fabulous ufeff"
"1129","why is everybody just making fun of her shes perfect ufeff"
"1130","i like the natural look katyufeff"
"1131","nicko i just want people to stop being mean from la zaunufeff"
"1132","ketty cantikufeff"
"1133","almost near billion fufuuufeff"
"1134","cool ufeff"
"1135","que hermosoufeff"
"1136","i like this video a lot im your big fan a lotufeff"
"1137","amo esa canción ufeff"
"1138","i love katy perry roarufeff"
"1139","love this songufeff"
"1140","that is a tigerufeff"
"1141","mike shake song love note book school new game ufeff"
"1142","chocolate heart song deadly note misa kate gameufeff"
"1143","so inspirational ufeff"
"1144","muí buenoufeff"
"1145","amo a katy ufeff"
"1146","i like your videos there all goodufeff"
"1147","esta canción es tremendamente buenasaaufeff"
"1148","i know shes pretty but you dont have to stare at her like all the timeufeff"
"1149","jajaja el tipo emocionado por la selfifufeff"
"1150","this should cover for a while thumbs up if watching in ufeff"
"1151","cause im the championufeff"
"1152","i love this song my friends builds bioms like desser jungle hell and other things im leafheart so i rule the jumgle and he rules hell basiclly the nether cause hes fireheart ufeff"
"1153","moreufeff"
"1154","she is smokin afufeff"
"1155","me encanta este video ufeff"
"1156","fggijjufeff"
"1157","katy perry for lifelove her to bitsufeff"
"1158","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1159","ufeff"
"1160","je pesem smešnaufeff"
"1161","tipicos de los hombres narcisos ajajajaja ufeff"
"1162","adoro quero que minha festa seja desse tema adoro mesmo adoro você foi muito boa nesse clipe katy perryufeff"
"1163","me encanta esta canciónufeff"
"1164","this song is good but the video is cornyufeff"
"1165","the eye of the tiger take a minute and remember that phrase was not made by her nothing about this song is original nothing at all this shit is so horrible fuck you katy perryufeff"
"1166","i gat the throat of a horse nayufeff"
"1167","it jst brings me back memories ufeff"
"1168","ulan insan sevgilis öldü diye üzülmezmi zalimin kizi d d ne güzel çocuktu ya d d sajhsdjbn ufeff"
"1169","ufeff"
"1170","very very very gooooooooodufeff"
"1171","you are soooo goodufeff"
"1172","fantástico isso foi uma das melhores músicas que eu possa hovir alguma vezucfucbuaucfucfuaubcuauucfuaauubucbuucucfuuuauuauucucfucbuucuubcuucfububuubuuuuuuuuauuuucfuucuauuucuuuubcuuc•ubcububucubuucuucucbuauuubcuaucuauucucuuuucuuuuuuucuu u u u u ucfucuco primeiro que eu possa dizer é que eu gosteiuuuuuucuuuuuuucuucuuucfuuaucbuucbucbuuucb•ucucucbucbuucbuucucfuucbuuauubcuuuuucuuuuuucbuuuducuuuuuuuuuuuuuuuuuuauubuucfucuuuuucucucufeff"
"1173","thank goddess it was not all just a dream good going to avoid such an obvious cliche i see a new thing now it says kitty purry on the tigers name tag this is how professionals create a legend as an actor said to a man at a rehearsal of shakesperes company or so we are told if you can sit quietly we will let you watch how professionals create a classic classic is why we keep coming backufeff"
"1174","esta chido el vídeoufeff"
"1175","wow i love this songufeff"
"1176","what is this shitufeff"
"1177","uuuuufeff"
"1178","uuuufeff"
"1179","tremendo collar de oro en la selva error ufeff"
"1180","katy perry roar official katyperry ufeff"
"1181","yor a really good singerufeff"
"1182","carhcetoufeff"
"1183","its a soo rock song forever • frogs in •ufeff"
"1184","que bozarrrronnufeff"
"1185","amei suas músicas e vídeos ufeff"
"1186","udcudeud udbududcudd udbudueaudududd ududueududcuduea ufeff"
"1187","ueudue udeududeudd ufeff"
"1188","follow me very very god song y go for it ufeff"
"1189","uuuuuauu ufuuuuu ufeff"
"1190","stupenda canzone la sento ogni giornoufeff"
"1191","reallyufeff"
"1192","i love you katy perryufeff"
"1193","hacer que todos los dias sean tu cumpleaños very good ideaufeff"
"1194","very god boobsufeff"
"1195","nice song katy slovak fanufeff"
"1196","tywin lannister approvesufeff"
"1197","hay no pz q malufeff"
"1198","very good songufeff"
"1199","a legend song everufeff"
"1200","shes a tiger but shes wearing leopard spots shes got a strong voice but seriously does a brain come with the package i kind of dismissed the whole idea that she may even have one a long time ago anywayufeff"
"1201","uefueueueueueueduedueufeff"
"1202","echa un vistazo a este vídeo en youtubefufuudufeff"
"1203","katys music videos are always so expensiveufeff"
"1204","this song really reminds me of the time i was a small periodufeff"
"1205","fuck shes hot in this video those boobs dufeff"
"1206","i do not anderstand the text of this songbut i love its nice melodia very muchfor me katy pery means roarufeff"
"1207","why aereufeff"
"1208","i layk kati ufeff"
"1209","the bast in the wordufeff"
"1210","i love that songucufefufeff"
"1211","echa un vistazo a este vídeo en youtubefufuudufeff"
"1212","yasasin islam ölsün illuminatiufeff"
"1213","the penguins of madagascar full httpwwwdailymotioncomvideoxkpgkthepenguinsofmadagascarfullshortfilms ufeff"
"1214","bass test boom boom pow bass katy perry bassufeff"
"1215","like if you watch thisufeff"
"1216","cannot believe how beautiful these photos are please join bobby marmot and vote you could win httpswwwfacebookcomunisouthamptonskappbrandlocdisableappdataviewvotecfor ufeff"
"1217","uf uub uu uuuubufeff"
"1218","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1219","hear meufeff"
"1220","i love you so much and this song is veryufeff"
"1221","uuueuueuue uf uuuuuauuufeff"
"1222","uaubuu ufeff"
"1223","i love this song it is so funny ufeff"
"1224","roarufeff"
"1225","hear me roar katy perry is a lannister ooufeff"
"1226","katty perry nidalee cosplayufeff"
"1227","httpswwwfacebookcomvideophpvsetvbtype ufeff"
"1228","you guys are rude to katy parry you guys gave her thumbs downufeff"
"1229","she is very beautifulufeff"
"1230","crashes a plane so he takes a selfie st century right here plus wifiufeff"
"1231","people do know this is years oldufeff"
"1232","help me pewds sang this song my ear is bleedingufeff"
"1233","no ufeff"
"1234","katy perry is retardedufeff"
"1235","tiger should have eaten herufeff"
"1236","another song thats an exact copy of mercy mercy meufeff"
"1237","feisima xddf wtf omgufeff"
"1238","roarufeff"
"1239","love you katyufeff"
"1240","omg she did copy from braveufeff"
"1241","omg i just really really love your videos ufeff"
"1242","du duu for your fuck information you are a big fat ass okufeff"
"1243","que linda katy perry megusta mucho ella y su musicaufeff"
"1244","shes so funny ufeff"
"1245","fufuuaffufuuufeff"
"1246","fufuuafroarufeff"
"1247","i like batman ufeff"
"1248","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1249","nidale dufeff"
"1250","katy perry can even nag to tigers so hard that they will get pussifiedufeff"
"1251","ufeff"
"1252","i love this song fufuufufuub and the video is so creative fufucua how can some of you come just to leave nasty comments on katyfufuu you obviously like her since you searched this song ubfufuub if you dont like her than why did you decide you wanted to hear this song just leave katy alone fr fufuubfufuaubufeff"
"1253","people are wondering if those animals are real im wondering how she got that cute top in the jungle and im also wondering how to get a tamed tiger like that ufeff"
"1254","gostosaaaaaaaaaa ufeff"
"1255","at least taylor swift sings better songs than this well done tay tay ufeff"
"1256","musicas daorasufeff"
"1257","puta que eri rika katty la cagai la rika meas tetas y culo wnn eres hermosa ufeff"
"1258","i like your song but i sing butter wayufeff"
"1259","this is a wonderful song i like it this song is so crazy ufeff"
"1260","ok this should cover me for the next years thumbs up if youre watching in sup to me dufeff"
"1261","sabes que me dijo jesus simonufeff"
"1262","i mean itufeff"
"1263","i have your cd and look up to you for your singingufeff"
"1264","i love katy perryufeff"
"1265","jungle song by katy perrylove itufeff"
"1266","kitty purryufeff"
"1267","love the world love the place love your home and be nice dont be a bully be like a angel be like a tiger a nice one lolufeff"
"1268","kkkkkufeff"
"1269","kkkkufeff"
"1270","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1271","i love you my katy baby muahufeff"
"1272","adoro essa musica não sai da cabeça ufeff"
"1273","hariufeff"
"1274","que hermosa cancion me encanta la mejor ufeff"
"1275","my brother said she fuking hotufeff"
"1276","ive got the eye of the dogyeah ufeff"
"1277","awesomeufeff"
"1278","maybe my no fan bery beautiful songufeff"
"1279","as soon as i clicked the vid mid penis poked right thru my underwear and pant faster than light speed translate i got instant boner dislike this if you dont agreeufeff"
"1280","im with you on thatufeff"
"1281","wowufeff"
"1282","hola soy colombiana admiradora tuya ufeff"
"1283","bardzo fajne i lubie ta piosenkeufeff"
"1284","the kitty purry was kinda funny thoughufeff"
"1285","uaubuuuufeff"
"1286","katyperrychile de octubre ufeff"
"1287","i love katy perryufeff"
"1288","até que é legalzinha a música e o vídeoufeff"
"1289","rooarufeff"
"1290","power of tigerufeff"
"1291","por tu culpa katty perry y ahora no se puede usar el bastón para las selfies gracias sarcasmoufeff"
"1292","inspirational and beautiful thank you katy perryufeff"
"1293","forever katy purryufeff"
"1294","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1295","i love your songs so much that icant tex on instgram no more guess they dont like my witufeff"
"1296","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1297","since i was i fall in love with katy now i am love is supposed to last years it seems my love for katy is forevertoo bad she will never even know about my existenceufeff"
"1298","uuu uuuauuufeff"
"1299","me encanta esta canción es la mejor del mundo katy perry uuuufeff"
"1300","lovely videoufeff"
"1301","the music is very very bestbeatiful is lool ufeff"
"1302","eu amo essa musica demais eu sou brasileira nasci no japao mas moro em santa catarina desculpa jenteufeff"
"1303","jag tycker om den här sången för att det finns tigrarufeff"
"1304","gracias por poner este video me encanta roarufeff"
"1305","i love it song ufeff"
"1306","máš krásný prsaufeff"
"1307","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1308","good very good ufeff"
"1309","what happened to the elephants right tooth at ufeff"
"1310","katy perry i love her roarufeff"
"1311","likeufeff"
"1312","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1313","omgufeff"
"1314","i love you katy you are the alltime queen of pop music and one of the hottest women of world history i am a katycat everufeff"
"1315","amo essa fto ufeff"
"1316","illuminati bitch no talent just some payola making her successfullufeff"
"1317","i love this mvufeff"
"1318","ueuua uuuauu uau uuuuuu ufeff"
"1319","bellissima canzone ufeff"
"1320","bellissima canzone ufeff"
"1321","tuyuect cú mèoufeff"
"1322","waoo amazing song from kety perry and i love all u songs all the bestfufuuufeff"
"1323","ive got the throat of a cowand youre gonna hear me mooooooufeff"
"1324","linda música parabéns ufeff"
"1325","happy wheelsufeff"
"1326","the walking deadufeff"
"1327","me carga esta mina superficial y frívola ufeff"
"1328","lolufeff"
"1329","like if your watching in ufeff"
"1330","ueuuuccuuucc uuc ufuduuuu uauuccu uuccud ufeff"
"1331","musica massaufeff"
"1332","u ub very favorite song ub uufeff"
"1333","like if youre watching this in ufeff"
"1334","nice songufeff"
"1335","wow i loved it its amazing ufeff"
"1336","this was so gay it almost gave me aids ufeff"
"1337","ueauedueaueueueueueufeff"
"1338","katy perry has a tatoo its great visible on on her right arm amusing that gave a question what is real name of katy perry pls give me answer and like if watching in thumps dufeff"
"1339","i like katty perryi like roarufeff"
"1340","hei hei hei hei ja sitten ufeff"
"1341","likeyouufeff"
"1342","lolufeff"
"1343","she got million for this video on youtube pure youtube money ufeff"
"1344","check out this playlist on youtubeufeff"
"1345","singing is fine but im not going to have to make sure you show meufeff"
"1346","roar fufuujadore cette chansonfufuudfufuucfufuuf ufeff"
"1347","i liked the video because of the scenario and the atmosphere but this song my ears are bleedingufeff"
"1348","goodufeff"
"1349","this song is ok ive heard better grose and listens to miranda lambert ufeff"
"1350","shes got the eye of the tiger but she says shes a lion very confusing ufeff"
"1351","this song remains me of jane boolittle™ from monster highufeff"
"1352","hahaufeff"
"1353","katy perry roarufeff"
"1354","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1355","and youre gonna hear me roarohohohohoaahohohohohufeff"
"1356","i love that song ubdufeff"
"1357","woo wow ufeff"
"1358","my favorite song everufeff"
"1359","saya suka roar ketty perryufeff"
"1360","i love your songs i got the whole album of teenager dream and i like em all i got all kinds of your songs on my phone im eight years old ufeff"
"1361","thumbs up if youre watching foreverufeff"
"1362","she so beautifulufeff"
"1363","waw roar mi your diutelful ufeff"
"1364","wait so there is make up in the forest for katy to use until she gain all the animals trust how many make up factories all there in the forestufeff"
"1365","así me sentaba callada educadamente estaba de acuerdo supongo que me olvidé de que podía elegir tengo la mirada del tigre el fuego bailando a través del fuego porque yo soy una campeona y tú vas a oírme rugir más alto más alto que un león porque yo soy una campeona y tú vas a oírme rugir oh vas a oírme rugir me gané mis rayas partí desde cero hasta ser mi propio héroeufeff"
"1366","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1367","cute ufeff"
"1368","fufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubfufuufufuubufeff"
"1369","millions of views for this come on ufeff"
"1370","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1371","katy perry roar xd super httpswwwyoutubecomwatchvcevxzvsjlkufeff"
"1372","want to find a job without the hassle of writing a resume want to see all the local employers on your phone immediately rather than asking around want to actually express yourself through a video application want to just have a profile that has all of your info if so get wirkn now httpsbncltwirknjennifersiuufeff"
"1373","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1374","look i found a video with a cute tigerufeff"
"1375","jk right ufeff"
"1376","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1377","really i loved itufeff"
"1378","stupid correction on my phoneufeff"
"1379","i like hot and colfufeff"
"1380","awesome songufeff"
"1381","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1382","after finding the strength to walk away from an abusive relationship this song all brings me to years ufeff"
"1383","ufeff"
"1384","kati perri canta eso mi corason en español o ingles no no no puedo no se como te salbare sin un amor mi corason me diseño que no es lo que ello creo siente como abrir dime como noooooo no pienses en mi sin ninguna lágrima sin sentimiento no me buelbas aaaasaaaaaaa miraaaaa en tu vidaufeff"
"1385","mhm ufeff"
"1386","mmhmufeff"
"1387","thumbs up if youre watching in ufeff"
"1388","this video is realy goodufeff"
"1389","j’adore katy perryelle est très jolieelle chante super bien et jadore cest chansonsmiloorufeff"
"1390","i never get bored of the song neverufeff"
"1391","meow subscribe to meufeff"
"1392","her song r so catchyufeff"
"1393","its been my fav song for yearsufeff"
"1394","i love katy perryufeff"
"1395","i love katy perry i know all of her songs kind ofufeff"
"1396","i love youufeff"
"1397","you are the bestufeff"
"1398","hs ufeff"
"1399","kook wowpw ufeff"
"1400","ja hqufeff"
"1401","esta superrr padre la quiero cantar en el karaoke jajaa y la pongo en ver en dufeff"
"1402","i really really love all her songsufeff"
"1403","me gusta el nombre que le pusieron al tigre kitty purryufeff"
"1404","ohhhh its goodufeff"
"1405","katty perry eres la mujer mas hermosa que he conocidodeseo hacerte el amor por siempreufeff"
"1406","katy perry roar officialufeff"
"1407","like if u think that this videoclip its the best everufeff"
"1408","the most beautiful clips everufeff"
"1409","searched eye of the tiger gave me this thanks youtubeufeff"
"1410","ualike thunder gonna shake your ground you held me down but i got up get ready ’cause i’ve had enough i see it all i see it nowuaufeff"
"1411","im know that bass i playing that songsufeff"
"1412","her patronus is a tigerufeff"
"1413","agaty jajo wytargaufeff"
"1414","i loves keep the part when katys friend got eaten lolufeff"
"1415","katy perry roar wonderful ufeff"
"1416","que lindo vídeo ufeff"
"1417","this woman is a devil worshiper ufeff"
"1418","i honestly love this song and video so much ufeff"
